family,action,mcp_tool,design_cases,source,fr,en,ar,de,es,hi,id,it,ja,ko,pt,ru,tr,vi,zh
post,post.applyPreset,post_applyPreset,14,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.listPresets,post_listPresets,8,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.duplicate,post_duplicate,14,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.reset,post_reset,14,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.addKeyframe,post_addKeyframe,20,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.removeKeyframe,post_removeKeyframe,17,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.savePreset,post_savePreset,14,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.renamePreset,post_renamePreset,14,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.deleteSavedPreset,post_deleteSavedPreset,12,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
post,post.setCameraStackMode,post_setCameraStackMode,18,scenarios/post.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,rig.state,rig_state,8,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,rig.fit,rig_fit,8,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,rig.clear,rig_clear,8,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,rig.configureHands,rig_configureHands,8,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,bone.add,bone_add,11,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,bone.remove,bone_remove,11,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,bone.rename,bone_rename,14,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,socket.add,socket_add,14,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,socket.remove,socket_remove,11,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,bone.setRole,bone_setRole,66,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,ik.add,ik_add,11,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,ik.remove,ik_remove,11,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,animations.list,animations_list,12,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,animation.reopenMotion,animation_reopenMotion,15,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,animation.addBlock,animation_addBlock,24,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,animation.removeBlock,animation_removeBlock,15,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,animation.setBlockSettings,animation_setBlockSettings,48,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,animation.setBandLengthAndRate,animation_setBandLengthAndRate,14,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,animation.autoKey,animation_autoKey,11,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,key.writePoseKeys,key_writePoseKeys,26,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,key.removeSubjectKeys,key_removeSubjectKeys,19,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,key.writeKeysOnOpenChannels,key_writeKeysOnOpenChannels,12,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,key.move,key_move,19,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,channel.remove,channel_remove,11,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
rig,channel.setMuteSoloLock,channel_setMuteSoloLock,20,scenarios/rig.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.status,git_status,8,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.log,git_log,11,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.listCommitFiles,git_listCommitFiles,10,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.diff,git_diff,13,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.branches,git_branches,7,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.stashes,git_stashes,7,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.init,git_init,7,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.stage,git_stage,11,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.unstage,git_unstage,11,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.restore,git_restore,12,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.commit,git_commit,13,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.createBranch,git_createBranch,10,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.checkout,git_checkout,11,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.stash,git_stash,11,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.stashPop,git_stashPop,10,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.tag,git_tag,13,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.stashDrop,git_stashDrop,10,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.resolve,git_resolve,17,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.abortMerge,git_abortMerge,8,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.remotes,git_remotes,7,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.addRemote,git_addRemote,13,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.fetch,git_fetch,7,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.pull,git_pull,8,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
git,git.push,git_push,11,scenarios/git.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
game,component.attach,component_attach,33,scenarios/game.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
game,component.detach,component_detach,33,scenarios/game.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
game,component.setProperties,component_setProperties,39,scenarios/game.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
play,play.start,play_start,7,scenarios/play.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
play,play.stop,play_stop,7,scenarios/play.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
play,play.pause,play_pause,7,scenarios/play.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
play,play.resume,play_resume,7,scenarios/play.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
play,play.step,play_step,9,scenarios/play.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
play,play.loadScene,play_loadScene,13,scenarios/play.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
play,runtime.report,runtime_report,7,scenarios/play.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
play,runtime.errors,runtime_errors,7,scenarios/play.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
script,script.list,script_list,8,scenarios/script.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
script,script.read,script_read,11,scenarios/script.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
script,script.write,script_write,14,scenarios/script.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
studio,studio.describe,studio_describe,10,scenarios/studio.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
studio,studio.docs,studio_docs,11,scenarios/studio.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
studio,studio.batch,studio_batch,9,scenarios/studio.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
timeline,timeline.addSceneCue,timeline_addSceneCue,30,scenarios/timeline.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
timeline,timeline.removeSceneCue,timeline_removeSceneCue,18,scenarios/timeline.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
timeline,timeline.setPanelRows,timeline_setPanelRows,16,scenarios/timeline.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
assembly,game.applyTemplate,game_applyTemplate,13,scenarios/assembly.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
assembly,prefab.define,prefab_define,13,scenarios/assembly.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
assembly,prefab.instantiate,prefab_instantiate,19,scenarios/assembly.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
export,game.export,game_export,40,scenarios/export.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
project,inputMaps.list,inputMaps_list,8,scenarios/project.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
project,inputMap.read,inputMap_read,11,scenarios/project.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
project,inputMap.write,inputMap_write,14,scenarios/project.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
project,animationGraphs.list,animationGraphs_list,8,scenarios/project.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
project,animationGraph.read,animationGraph_read,11,scenarios/project.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
project,animationGraph.write,animationGraph_write,14,scenarios/project.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
project,animation.retargetStatus,animation_retargetStatus,24,scenarios/project.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
context,context.readProjectCards,context_readProjectCards,8,scenarios/context.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
context,context.writeProjectCard,context_writeProjectCard,20,scenarios/context.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
context,context.deleteProjectCard,context_deleteProjectCard,12,scenarios/context.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
memory,memory.recall,memory_recall,13,scenarios/memory.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
memory,memory.read,memory_read,11,scenarios/memory.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
memory,memory.write,memory_write,31,scenarios/memory.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
memory,memory.forget,memory_forget,12,scenarios/memory.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
memory,memory.link,memory_link,15,scenarios/memory.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
settings,settings.read,settings_read,8,scenarios/settings.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
settings,settings.write,settings_write,29,scenarios/settings.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
settings,accounts.list,accounts_list,7,scenarios/settings.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
settings,accounts.activate,accounts_activate,11,scenarios/settings.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
settings,accounts.rename,accounts_rename,14,scenarios/settings.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
settings,settings.triggerAction,settings_triggerAction,18,scenarios/settings.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,auth.state,auth_state,7,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,window.state,window_state,7,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,window.fullScreen,window_fullScreen,7,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,settings.open,settings_open,37,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,updates.state,updates_state,7,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,media.capabilities,media_capabilities,7,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,media.indexFileInPlace,media_indexFileInPlace,10,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,fonts.list,fonts_list,7,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,favorites.listPinnedRecipes,favorites_listPinnedRecipes,7,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,favorite.pinAssetRecipe,favorite_pinAssetRecipe,10,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,favorite.unpinAssetRecipe,favorite_unpinAssetRecipe,10,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,fileInfo.openWindow,fileInfo_openWindow,10,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,mirror.openVideoReturnWindow,mirror_openVideoReturnWindow,7,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,help.openStudioWindow,help_openStudioWindow,15,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,updates.install,updates_install,8,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,dictation.state,dictation_state,7,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,dictation.start,dictation_start,7,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,dictation.stop,dictation_stop,10,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,panels.list,panels_list,7,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,panel.open,panel_open,28,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
shell,panel.close,panel_close,28,scenarios/shell.md,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned,planned
