famille,action,outil_mcp,titre,description,engagement,repetable,rangs_batterie
montage,track.setMuteSoloLockHeight,track_setMuteSoloLockHeight,Régler comment une piste se travaille,"Change le silence, le solo, le verrou ou la hauteur d’une piste. Ces quatre-là disent comment on travaille et non ce qu’on a fait, et n’entrent donc jamais dans l’historique.",none,True,40.6
material,skybox.state,skybox_state,Lire le ciel en cours d’édition,"Rend le ciel devant — sa source équirectangulaire, ses réglages d’image, la position et la couleur de son soleil, et ce que son environnement éclaire — plus ce qui l’a produit s’il vient d’une génération.",none,True,37.1
material,skybox.setViewportOptions,skybox_setViewportOptions,Régler la façon de regarder un ciel,"Choisit la projection sous laquelle le ciel est dessiné, l’ouverture de l’objectif, et si les objets d’essai s’y tiennent. C’est un état de session, comme toute façon de regarder un document, et rien n’en est enregistré.",none,False,37.7
material,skybox.adjustImage,skybox_adjustImage,Régler l’image d’un ciel,"Change l’exposition, le contraste, la saturation, la température, la teinte, la rotation d’horizon ou le flou. Chaque champ est facultatif, et ce qui n’est pas donné reste tel quel.",none,True,37.5
material,skybox.resetAdjustments,skybox_resetAdjustments,Remettre les réglages d’image à neutre,"Ramène d’un coup tous les réglages d’image du ciel à leur valeur neutre, en une seule entrée d’historique. La source et le soleil ne bougent pas.",none,True,37.6
material,skybox.setSun,skybox_setSun,Placer et régler le soleil,"Change l’élévation, l’azimut, l’intensité ou la couleur du soleil du ciel devant. Les deux angles sont en radians, comme partout dans la scène.",none,True,37.3
material,skybox.setPreviewLighting,skybox_setPreviewLighting,Régler ce que le ciel éclaire,"Change l’intensité de l’éclairage que le ciel donne aux objets d’essai, et décide si l’image est dessinée derrière eux ou se contente de les éclairer.",none,True,37.4
material,skybox.setSourceImage,skybox_setSourceImage,Choisir l’image d’un ciel,"Accroche une image équirectangulaire de la bibliothèque dans le ciel devant. L’asset doit avoir un fichier sur la machine, une image restée dans le nuage n’ayant rien à décoder.",none,True,37.2
material,material.state,material_state,Lire la matière en cours d’édition,"Rend la matière devant — les huit canaux et ce qui les remplit, tous les réglages de rendu comme la couleur, la rugosité et le pavage, et la façon dont l’aperçu est présenté.",none,True,38.1
material,material.setSurfaceSettings,material_setSurfaceSettings,Régler une matière,"Change la teinte, la rugosité, le métal, le relief, l’occlusion, l’émission, le pavage, le décalage ou la rotation de la matière devant. Chaque champ est facultatif.",none,True,38.2
material,material.setPreviewDisplay,material_setPreviewDisplay,Régler l’aperçu d’une matière,"Change l’intensité et la rotation de l’environnement qui éclaire l’aperçu, l’affichage du fond, la rotation automatique et la mise en évidence des coutures.",none,False,38.5
material,material.setPreviewEnvironment,material_setPreviewEnvironment,Choisir ce qui éclaire l’aperçu d’une matière,"Éclaire l’aperçu par le studio procédural, par une image du projet nommée par son identifiant d’asset, ou par un document ciel nommé par son titre — l’aperçu prend alors son image étalonnée et son intensité, comme une scène le fait.",none,True,38.6
material,material.setChannelImage,material_setChannelImage,Remplir ou vider un canal,"Met une image de la bibliothèque dans un des huit canaux de la matière devant. Sans asset nommé, le canal est vidé plutôt que rempli.",none,True,"38.3,38.4"
material,styles.list,styles_list,Lister les styles de matière,"Rend les styles de matière enregistrés, avec leur identifiant, leur nom et les valeurs qu’ils gardent. Ils vivent hors de tout projet et suivent la machine.",none,True,53.1
material,style.save,style_save,Enregistrer la matière comme style,"Enregistre la matière du document devant sous le nom donné. Le nom sert de base, le studio le rendant unique s’il est déjà pris.",none,True,53.2
material,style.rename,style_rename,Renommer un style de matière,"Donne son nom à un style enregistré. Rien d’autre du style ne bouge, et son identifiant reste le même.",none,True,53.3
material,style.remove,style_remove,Supprimer un style de matière,"Retire un style enregistré. Il vit hors de tout projet, donc rien ne le rend — ni l’annulation, ni l’Explorateur.",files,True,53.4
scene,scene.state,scene_state,Lire la scène en cours d’édition,"Répond chaque objet du document 3D en avant — son identifiant, son nom, son type, son parent, sa visibilité et sa transformation, avec la géométrie, la matière ou la lumière qu’il porte — plus ce qui est sélectionné, les plans de caméra et le réglage de la scène. Un champ À SON DÉFAUT est omis, et son absence signifie ce défaut : aucun parent, visible, à l’origine sans rotation ni échelle, la couleur du studio, une forme divisée comme sa sorte l’est toujours. Les mesures ne sont jamais omises. Une liste qui ne tient rien est omise entière. Pour décrire UN objet avec ses composants et ce qu’on peut encore lui ajouter, studio.describe.",none,True,"1.5,1.6,1.7,9.6,12.1,14.4,26.1,26.3,27.1,27.4,71.1"
scene,node.add,node_add,Ajouter un objet à la scène,"Pose une primitive, une lumière, une caméra, un sprite ou un texte dans le document 3D devant, à la position donnée. Répond avec l’identifiant reçu par l’objet à sa naissance. Un modèle du projet, ou celui qu’une génération vient de rendre, entre par node.addModel ; ceci fabrique une primitive.",none,True,"6.1,6.6,6.8,8.1,8.4,9.1,25.1,25.3,31.1,71.5"
scene,node.addModel,node_addModel,Placer un modèle de la bibliothèque,"Pose un modèle 3D de la bibliothèque du projet dans la scène devant, nommé d’après son asset. C’est ainsi qu’une maille générée entre dans une scène.",none,True,"11.1,11.5,22.4,23.2,24.2,31.1"
scene,node.markAsCuttingTool,node_markAsCuttingTool,Marquer des objets comme outils,"Marque des objets de la scène devant, ou la retire avec « negative » à FAUX : un objet marqué est CREUSÉ dans les autres au pli suivant, quel que soit le pli demandé et quel que soit l’ordre des identifiants. Sans marque, la plus grosse forme est la matière.",none,True,"6.14,6.15"
scene,node.combineIntoSolid,node_combineIntoSolid,"Percer, fusionner ou croiser des objets","Plie plusieurs objets de la scène devant en un seul solide. L’ORDRE DES IDENTIFIANTS NE COMPTE PAS : la matière est la plus grosse forme, sauf si « matterId » la nomme, et un objet marqué par « node.markAsCuttingTool » est toujours un outil. Les formes d’origine sont conservées dans le solide et « node.separate » les rend. Répond avec l’identifiant du solide. « intersect » ne garde que ce qu’ils partagent, le chevauchement.",none,True,"6.10,6.11,6.12,6.13,6.14"
scene,node.swapSolidMatterAndTool,node_swapSolidMatterAndTool,Inverser un pli,"Refait le pli d’un solide de la scène devant dans l’autre sens : ce qui avait été creusé devient la matière, et la matière devient l’outil. Pour le pli qui est parti à l’envers, sans annuler.",none,True,6.16
scene,node.separate,node_separate,Séparer un solide,"Défait un solide de la scène devant et rend les formes dont il a été fait, chacune là où elle se trouvait. Répond avec les identifiants des objets rendus.",none,True,6.13
scene,node.remove,node_remove,Retirer un objet,"Sort un objet de la scène devant, avec ce qui pend sous lui. S’annule comme n’importe quelle autre édition de ce document.",none,True,"25.7,29.4,29.5"
scene,node.attach,node_attach,Accrocher un objet à un personnage,"Accroche un objet au point d’attache du personnage dont il dépend — une épée dans la main. Sans point nommé, l’objet suit le personnage entier.",none,True,50.12
scene,node.rename,node_rename,Renommer un objet,"Appelle autrement un objet de la scène devant. L’identifiant ne change pas, donc rien de ce qui le désignait n’est perdu.",none,True,"6.2,6.9,8.2"
scene,node.transform,node_transform,Placer un objet,"Déplace, oriente ou redimensionne un objet. Les rotations sont des angles d’Euler en radians, et tout axe omis garde la valeur que l’objet avait déjà.",none,True,"6.3,6.4,6.5,6.7,7.1,7.2,7.3,7.4,7.5,9.2,9.4,11.2,11.3,22.5,22.6,24.3,25.2,25.4,25.5,25.6,25.8,26.2,28.2,29.1"
scene,node.setVisible,node_setVisible,Montrer ou cacher un objet,"Sort un objet de ce qui est dessiné, ou l’y remet. Il reste dans la scène dans les deux cas, et c’est ce qui distingue cacher de retirer.",none,True,"8.6,8.7"
scene,node.setMeshMaterial,node_setMeshMaterial,Régler la matière d’un objet,"Change la couleur, la rugosité, l’aspect métallique, la densité de tuilage et les cinq cartes d’une maille ou d’un texte. Une carte nommée avec un identifiant vide est une carte retirée. Le tuilage est refusé sur un texte, dont le contour n’est pas une primitive.",none,True,"12.2,12.3,12.4,12.5,12.6,12.7,23.3,24.9"
scene,node.setPrimitiveParameters,node_setPrimitiveParameters,Régler les paramètres d’une primitive,"Change les mesures et les découpages de la forme dont une maille a été construite. Chaque primitive porte les siens, que la lecture de la scène rend — un champ qui n’appartient pas à la forme est refusé plutôt qu’ignoré.",none,True,46.1
scene,node.setShadowCastAndReceive,node_setShadowCastAndReceive,Régler les ombres d’un objet,"Dit si un objet projette une ombre et s’il reçoit celles des autres. Une lumière n’en reçoit aucune, un panneau ne fait ni l’un ni l’autre, et le champ que l’objet ne peut pas porter est refusé.",none,True,10.4
scene,node.setSpriteSettings,node_setSpriteSettings,Régler un panneau,"Change la teinte, l’opacité et l’image d’un panneau, qui fait toujours face à la caméra. Un identifiant vide retire l’image et laisse le carré coloré.",none,True,46.2
scene,node.setTextSettings,node_setTextSettings,Régler un texte 3D,"Change les mots, la police, le corps, l’épaisseur du relief et la finesse des courbes d’un texte. Sa matière se règle par l’action de matière, comme celle d’une maille.",none,True,46.3
scene,node.setPathShape,node_setPathShape,Régler la forme d’un chemin,"Change la tension d’un chemin, de 0 anguleux à 1 arrondi, et le fait qu’il se referme sur lui-même. Ses points de contrôle s’ajoutent, se déplacent et se retirent par les trois actions voisines.",none,True,46.4
scene,path.addPoint,path_addPoint,Ajouter un point à un chemin,"Pose un point de contrôle. Avec des coordonnées, il est ajouté après le dernier, là où il est visé. Avec un rang, il est glissé juste après ce point, à mi-distance du suivant. Sans rien, il prolonge le chemin par le bout.",none,True,46.5
scene,path.movePoint,path_movePoint,Déplacer un point d’un chemin,"Change les coordonnées d’un point de contrôle, dans le repère propre du chemin — bouger le chemin bouge donc toute la trajectoire. Un rang qui ne désigne aucun point est refusé.",none,True,46.6
scene,path.removePoint,path_removePoint,Retirer un point d’un chemin,"Retire un point de contrôle. Un chemin ne descend jamais sous deux points, car un point n’est pas une ligne, et la demande est alors refusée.",none,True,46.7
scene,optimization.analyze,optimization_analyze,Analyser l’optimisation de la scène,"Répond l’analyse déterministe des optimisations possibles sur les objets nommés, ou sur toute la scène si aucun n’est nommé. Ne modifie rien.",none,True,69.1
scene,optimization.report,optimization_report,Lire le rapport d’optimisation,Répond les coûts mesurés de la scène séparément des gains runtime SAFE estimés.,none,True,69.4
scene,optimization.selection,optimization_selection,Optimiser la sélection,Place les objets sélectionnés en optimisation runtime SAFE automatique tout en gardant chaque objet auteur éditable.,none,True,69.2
scene,optimization.world,optimization_world,Optimiser la scène,Place chaque objet en optimisation runtime SAFE automatique sans modifier la scène auteur.,none,True,69.3
scene,optimization.clearCache,optimization_clearCache,Vider le cache d’optimisation,Jette la représentation optimisée du viewport afin qu’elle soit reconstruite depuis l’état auteur.,none,True,69.5
scene,optimization.exclude,optimization_exclude,Exclure des objets de l’optimisation,Conserve les objets logiques nommés individuellement dans le rendu optimisé.,none,True,69.6
scene,optimization.setMode,optimization_setMode,Régler le mode d’optimisation,"Règle Auto, Forcer individuel, Forcer instance, Forcer batch ou Exclure sur les objets nommés.",none,True,69.7
scene,model.setMaterialDocument,model_setMaterialDocument,Habiller un modèle d’une matière,"Fait porter à un modèle importé une matière du projet, nommée par le titre de son document. Le modèle suit ensuite cette matière, si bien qu’en éditer un canal ou un réglage le repeint, sans rien redemander ici. Un titre vide la lui retire, et il retrouve ce que son propre fichier porte.",none,True,"12.8,12.9,12.11"
scene,model.setBaseColorImage,model_setBaseColorImage,Recouvrir un modèle d’une image,"Pose une seule image du projet sur tout un modèle importé, comme sa couleur de base — la façon simple de l’habiller. Elle exclut les matières : un modèle recouvert d’une image ne porte plus aucune matière, et l’inverse. Aucun autre canal n’en est déduit. Sans image, l’habillage est retiré et le modèle retrouve ce que son propre fichier porte.",none,True,12.10
scene,node.setLightSettings,node_setLightSettings,Régler une lumière,"Change tout ce que porte la sorte de lumière visée — sa couleur, son intensité, sa portée, son atténuation, l’ouverture et le fondu de son cône, sa cible, et les deux couleurs d’une lumière hémisphérique. Un champ que la sorte ne porte pas est refusé. Un halo, un bloom ou tout autre effet n’est pas une lumière : post.set écrit un paramètre d’un effet et post.reset le remet.",none,True,"8.3,8.5,24.4,26.4,26.5"
scene,node.setCameraLens,node_setCameraLens,Régler l’objectif d’une caméra,"Change l’angle de vue et les distances proche et lointaine d’une caméra. Où elle se tient se règle par la transformation, comme pour n’importe quel objet.",none,True,9.5
scene,camera.addShot,camera_addShot,Mettre une caméra à l’antenne,"Ouvre un plan pour cette caméra, à partir de l’instant donné en secondes, et répond son identifiant. La ligne où il se pose suit la règle de la bande, où une caméra qui n’y figurait pas encore arrive au-dessus. Une caméra qui a un plan est la caméra ACTIVE, celle par laquelle la scène est vue.",none,True,9.3
scene,camera.bindPathToShot,camera_bindPathToShot,Faire courir une caméra sur un chemin,"Lie un chemin au plan désigné, que la caméra parcourt alors pendant toute la durée du plan, à vitesse régulière le long de sa longueur. Sans chemin, le plan ne déplace plus la caméra. Un départ plus grand que l’arrivée fait rouler le chemin à l’envers.",none,True,47.2
scene,camera.createAndBindPath,camera_createAndBindPath,Poser un chemin sous une caméra,"Crée un chemin là où la caméra se tient, orienté dans sa ligne de visée, et le lie au plan en un seul geste. L’action voisine lie un chemin qui existe déjà, quand celle-ci en fabrique un — un chemin ne conduit rien sans un plan pour le parcourir.",none,True,"47.1,47.2"
scene,camera.reorder,camera_reorder,Changer le rang d’une caméra sur la bande,"Monte ou descend la ligne d’une caméra, ce qui décide de ce que le film regarde quand deux plans se recouvrent. Le nombre est un nombre de rangs, négatif pour descendre, et la réponse dit de combien la ligne a pu bouger.",none,True,47.3
scene,camera.aimShotAt,camera_aimShotAt,Donner une cible à une caméra,"Oriente la caméra du plan désigné vers un objet — qu’elle suit même s’il est animé — ou vers un point fixe. Sans objet ni point, la caméra reste orientée par sa seule rotation.",none,True,"9.3,9.4,14.2,24.5,24.8"
scene,node.reparent,node_reparent,Rattacher un objet,"Accroche un objet sous un autre, ou sous la scène elle-même quand aucun parent n’est donné, et le place où on veut parmi ses nouveaux voisins. Donner une place sans donner de parent remonte donc l’objet à la scène : répéter le parent pour ne changer que la place. L’objet garde sa transformation, qui se lit alors relativement à son nouveau parent.",none,True,"46.8,46.9"
scene,node.select,node_select,Sélectionner des objets,"Fait de ces objets la sélection que lit l’inspecteur et que déplace le manipulateur. Une sélection n’est pas une édition, donc rien ne s’ajoute à l’historique.",none,False,28.1
scene,view.direction,view_direction,Regarder la scène depuis une face,"Place la caméra de la vue principale face au dessus, au dessous, à l’avant, à l’arrière, à la gauche ou à la droite de la scène. C’est un déplacement, donc rien ne s’ajoute à l’historique.",none,False,47.4
scene,view.setDisplayMode,view_setDisplayMode,Choisir la façon de dessiner la scène,"Passe la vue principale en ombré, en fil de fer, en matière seule ou dans l’une des autres façons de dessiner. La commande de menu ne fait que tourner d’une à l’autre, quand celle-ci nomme laquelle.",none,False,"47.5,71.2"
scene,scene.capture,scene_capture,Prendre une image de la vue 3D,"Écrit une image de ce que la vue montre dans les images du projet, à la définition demandée. Le cadrage ne change jamais — seul le nombre de pixels bouge, sinon la capture montrerait autre chose que l’écran.",none,True,"47.6,71.4"
scene,world.applyPreset,world_applyPreset,Appliquer un décor tout prêt,"Règle d’un coup l’éclairage, le fond, la brume et le rendu d’une scène pour un genre de rendu. Chaque décor n’écrit que les champs dont il parle et laisse le reste tel quel, donc un sol allumé le reste.",none,True,48.1
scene,world.setSceneLighting,world_setSceneLighting,Choisir ce qui éclaire la scène,"Éclaire la scène par le studio procédural, par une image du projet nommée par son identifiant d’asset, ou par un document ciel nommé par son titre — la scène prend alors son image étalonnée, son soleil et son intensité. Règle aussi l’intensité de cet éclairage et sa rotation autour de la verticale, posées par-dessus.",none,True,"10.2,10.3,10.7,23.2,27.3,31.1"
scene,world.setBackground,world_setBackground,Choisir ce qui est derrière la scène,"Pose derrière la scène l’environnement lui-même, une couleur unie, ou rien du tout — ce dernier cas laissant le fond transparent, ce que veut une capture destinée à être posée sur autre chose.",none,True,10.6
scene,world.setFog,world_setFog,Régler la brume de la scène,"Éteint la brume, la fait fondre entre deux distances, ou l’épaissit avec la profondeur. La couleur et les distances ne valent que pour la forme choisie, et sont laissées telles quelles sinon.",none,True,48.2
scene,world.setGroundPlane,world_setGroundPlane,Régler le sol de la scène,"Montre ou masque le sol que la scène possède, et règle sa couleur, son côté, son opacité et si les ombres s’y posent. C’est ainsi qu’un sol s’AJOUTE à une scène : une surface ajoutée comme objet reste un objet parmi les autres, pas le sol. Ce sol appartient au document, contrairement à la grille, qui est un réglage de l’application.",none,True,48.3
scene,world.setLayers,world_setLayers,Remplacer les couches de relief et de semis,Remplace la liste complète et validée des couches de relief et de semis de la scène. Lire d’abord les couches présentes avec scene.state avant d’en modifier une.,none,True,48.5
scene,world.setToneMapping,world_setToneMapping,Régler le rendu de la scène,"Choisit comment la plage dynamique est ramenée sur l’écran, et de combien de diaphragmes elle est exposée. Les deux appartiennent au document, pas à la fenêtre qui le regarde.",none,True,48.4
post,post.state,post_state,Lire la composition de post-traitement,"Rend la pile d’effets que la scène — ou la caméra nommée — filme à travers, avec l’identifiant de chaque instance, l’effet qu’elle est, ses paramètres, si elle est active, et si la chaîne la laisse de côté.",none,True,59.1
post,post.add,post_add,Ajouter un effet de post-traitement,"Pose un effet du catalogue au bout de la pile, sur ses valeurs par défaut. Sans caméra nommée c’est la composition de la scène qui reçoit, celle que le viewport montre déjà.",none,True,"59.2,59.8"
post,post.remove,post_remove,Retirer un effet de post-traitement,"Enlève une instance de la pile, et avec elle les canaux de la timeline qui la pilotaient — laissés là, ils viseraient un effet que plus rien n’atteint.",none,True,59.5
post,post.move,post_move,Déplacer un effet dans la pile,"Change la place d’une instance dans la chaîne, ce qui change l’image obtenue — un étalonnage avant un halo lumineux ne donne pas la même chose qu’après lui.",none,True,59.8
post,post.set,post_set,Régler un paramètre d’un effet,"Écrit une valeur sur un paramètre d’une instance, tenue aux bornes que le catalogue déclare pour ce paramètre. Le champ à remplir dépend de sa nature — un nombre, un interrupteur ou un mot.",none,True,59.3
post,post.setEffectEnabled,post_setEffectEnabled,Activer ou désactiver un effet,"Coupe une instance sans la retirer, ce qui la sort du calcul et non seulement de l’image. Ses paramètres restent où ils sont, prêts à être rallumés.",none,True,59.4
post,post.setWholeStackEnabled,post_setWholeStackEnabled,Couper toute la composition,"Éteint ou rallume la pile entière d’un coup, sans rien perdre — le Avant/Après, en une valeur du document que ⌘Z sait reprendre.",none,True,59.7
post,post.applyPreset,post_applyPreset,Appliquer un préréglage de post-traitement,"Remplace la pile par une composition prête — un ensemble d’effets, dans un ordre, sur des valeurs qui vont ensemble. Le document reçoit la pile elle-même, jamais une référence au préréglage.",none,True,"59.6,59.12,59.17"
post,post.listPresets,post_listPresets,Lister les préréglages de post-traitement,"Rend les compositions prêtes que le studio fournit et celles enregistrées sur cette machine, avec leur nom. C’est à cette liste que post.applyPreset sait répondre.",none,True,59.17
post,post.duplicate,post_duplicate,Dupliquer un effet de post-traitement,"Pose une copie de l’effet juste après lui, sur les mêmes valeurs et sous une identité neuve. Refusé pour un effet dont une seconde instance ne veut rien dire — un anticrénelage, une occlusion.",none,True,59.13
post,post.reset,post_reset,Réinitialiser un effet de post-traitement,"Ramène tous les paramètres de cet effet à ce que le catalogue déclare, sans le retirer de la pile ni toucher à sa place.",none,True,59.14
post,post.addKeyframe,post_addKeyframe,Poser une clé sur un paramètre de post-traitement,"Ouvre un canal d’animation sur ce paramètre s’il n’en a pas, et y pose une clé à la tête. La valeur donnée est celle qu’on veut VOIR, et l’écart avec la pile est calculé ici.",none,True,59.15
post,post.removeKeyframe,post_removeKeyframe,Retirer une clé de post-traitement,"Retire la clé posée à la tête sur ce paramètre. Le canal reste en place, comme lorsqu’on retire une clé depuis la bande.",none,True,59.16
post,post.savePreset,post_savePreset,Enregistrer la composition comme préréglage,"Garde la pile en cours sous un nom, sur cette machine. Rien n’est écrit dans le document ni dans le projet.",none,True,59.18
post,post.renamePreset,post_renamePreset,Renommer un préréglage enregistré,"Change le nom d’un préréglage de cette machine, désigné par son identifiant ou par son nom actuel. Ce qu’il contient ne bouge pas.",none,True,59.19
post,post.deleteSavedPreset,post_deleteSavedPreset,Oublier un préréglage enregistré,"Retire de cette machine un préréglage enregistré. Les compositions déjà appliquées ne changent pas, un document tenant sa pile plutôt qu’une référence.",studio,True,59.20
post,post.setCameraStackMode,post_setCameraStackMode,Dire ce qu’une caméra fait du post-traitement,"Choisit si cette caméra suit la composition de la scène, porte la sienne, ou n’en applique aucune. Passer à la sienne la démarre sur ce qu’elle filmait déjà.",none,True,"59.9,59.10,59.11"
rig,rig.state,rig_state,Lire le squelette d’un personnage,"Rend les os d’un modèle avec leurs rôles, les poignées que ses articulations atteignent, les blocs posés sur sa bande, et ce que le moteur a mesuré de la maille.",none,True,50.1
rig,rig.fit,rig_fit,Rendre un modèle animable,"Pose sur la maille le squelette que le studio ajuste à ce qu’il en a mesuré. Refuse tant que le moteur n’a pas lu le modèle, ce qui est une attente et non une faute.",none,True,50.2
rig,rig.clear,rig_clear,Retirer le squelette d’un modèle,"Rend le modèle à son état de maille, sans os ni poignées. Le geste s’annule comme tous les autres de la scène.",none,True,50.10
rig,rig.configureHands,rig_configureHands,Ajouter les os des doigts,"Pose les trente os de doigts au repos sur les mains que le squelette porte déjà. Sans mains reconnues, rien n’est écrit.",none,True,50.3
rig,bone.add,bone_add,Ajouter un os,"Accroche un os sous celui qui est nommé, exactement à sa place — le manipulateur est ce qui le met où il doit aller. Son nom est composé de celui du parent.",none,True,50.4
rig,bone.remove,bone_remove,Retirer un os,"Sort un os du squelette et raccroche ses enfants là où il était accroché, de sorte qu’un coude s’en aille et que la main reste.",none,True,50.7
rig,bone.rename,bone_rename,Renommer un os,"Change le nom d’un os, ses enfants suivant tout seuls. Un nom déjà pris est refusé plutôt qu’écrit à moitié.",none,True,50.5
rig,socket.add,socket_add,Poser un point d’attache,"Pose sur un os du personnage devant un point qu’un objet d’une scène peut suivre — une main, un dos. Le point vit dans le fichier du personnage.",none,True,50.11
rig,socket.remove,socket_remove,Retirer un point d’attache,Retire un point d’attache du personnage devant. Ce qui le suivait retombe sur le personnage lui-même.,none,True,50.13
rig,bone.setRole,bone_setRole,Dire quelle articulation un os EST,"Rattache un os à l’une des articulations du standard humanoïde, ou à aucune quand le rôle est laissé vide. L’os qui tenait ce rôle le perd dans le même mouvement.",none,True,50.6
rig,ik.add,ik_add,Poser une poignée sur une articulation,"Ajoute une poignée qu’une articulation atteint, et la chaîne qui la suit — les deux os au-dessus tournent pour l’accompagner, ce qui pose un pied au sol ou une main sur une prise.",none,True,50.8
rig,ik.remove,ik_remove,Retirer une poignée,"Enlève une chaîne et la poignée qu’elle atteignait, toutes les deux, car une poignée laissée derrière serait un os que rien ne pilote.",none,True,50.9
rig,animations.list,animations_list,Lister ce qu’un personnage peut jouer,"Répond les trois provenances d’un mouvement — les clips que le fichier du modèle porte, les animations livrées avec le studio, et celles que la bibliothèque du projet garde. C’est ce qui répond à « quelles animations porte cette scène » ; les clés d’une bande se lisent avec scene.state.",none,True,49.1
rig,animation.reopenMotion,animation_reopenMotion,Rouvrir un mouvement de personnage,Remplace l’atelier d’animation par le mouvement enregistré dans un asset d’animation pour le modèle nommé. L’asset doit porter des données de mouvement créées par ce studio.,none,True,
rig,animation.addBlock,animation_addBlock,Poser un bloc d’animation,"Pose sur la bande d’un personnage un mouvement venu de l’une des trois provenances. L’identifiant nomme un asset de la bibliothèque, le nom nomme les deux autres, et un seul des deux appartient à un appel. La bande est créée si le personnage n’en avait aucune.",none,True,13.5
rig,animation.removeBlock,animation_removeBlock,Retirer un bloc d’animation,"Enlève un bloc de la bande, où qu’il se trouve. La bande reste, vide s’il le faut.",none,True,13.6
rig,animation.setBlockSettings,animation_setBlockSettings,Régler un bloc d’animation,"Change la place d’un bloc sur la bande, son départ à l’intérieur du mouvement, sa vitesse, sa boucle, la longueur de ses fondus, ce qu’il fait du déplacement de la racine et la partie du corps qu’il pilote. Le bloc est réécrit sur place, les autres couches restant intactes.",none,True,49.2
rig,animation.setBandLengthAndRate,animation_setBandLengthAndRate,Régler la bande d’animation,"Change la durée de la bande, sa cadence en images par seconde, ou les deux. Ce qui n’est pas nommé n’est pas touché.",none,True,13.1
rig,animation.autoKey,animation_autoKey,Activer la pose automatique de clés,"Décide si déplacer un os écrit une clé au passage. C’est un état de session, comme toute façon de regarder une scène, et rien n’en est enregistré avec le document.",none,False,49.3
rig,key.writePoseKeys,key_writePoseKeys,Poser une clé sur un sujet,"Écrit une clé sur chaque canal d’un objet ou d’un os, à l’instant donné ou à la tête de lecture, en tenant la pose affichée à la tête de lecture — celle que node.transform a posée. Sur un objet animé, node.transform pose une clé à la tête de lecture elle-même ; pour poser un autre instant, y écrire la clé d’abord, puis placer l’objet avec la tête dessus. Les canaux qui manquent sont ouverts au passage, puisque exiger une piste d’abord serait réclamer ce qui se tient déjà dans la vue.",none,True,"13.2,13.3,13.4,14.1,14.3"
rig,key.removeSubjectKeys,key_removeSubjectKeys,Retirer les clés d’un sujet,"Reprend la clé que chaque canal d’un objet ou d’un os tient à cet instant. Sans ce geste une pose serait sans retour, et rien d’autre du panneau n’en enlève une.",none,True,49.4
rig,key.writeKeysOnOpenChannels,key_writeKeysOnOpenChannels,Poser une clé sur tout ce qui est animé,"Écrit une clé sur chaque canal déjà ouvert de la scène, à l’instant donné ou à la tête de lecture. N’en ouvre aucun, ce qui distingue ce geste de la pose sur un sujet.",none,True,49.5
rig,key.move,key_move,Déplacer une clé,"Fait glisser une clé le long de son canal, en gardant sa valeur. Une clé qui arrive sur un instant qu’une autre occupe la remplace, deux clés sur une image étant un état qu’aucune lecture ne saurait relire.",none,True,49.6
rig,channel.remove,channel_remove,Retirer un canal d’animation,Enlève un canal et les clés qu’il portait. Un canal verrouillé est refusé plutôt que laissé en place en silence.,none,True,13.6
rig,channel.setMuteSoloLock,channel_setMuteSoloLock,Régler les fanions d’un canal,"Rend un canal muet, le met en solo, ou le verrouille. C’est une façon de travailler et non une modification du document, donc rien ne s’ajoute à l’historique.",none,False,49.7
git,git.status,git_status,Lire l’état des versions du dépôt,"Rend la branche, ce qu’elle suit, son avance ou son retard, et chaque fichier modifié avec la moitié de git où il se trouve. Dit aussi quand le projet n’a aucun dépôt. Ce qui a changé DANS un fichier est git.diff ; ceci ne fait que nommer les fichiers.",none,True,58.1
git,git.log,git_log,Lire l’historique,"Rend une page de versions enregistrées, de la plus récente à la plus ancienne, toutes branches confondues, avec les noms qui pointent sur chacune. Ce qui a changé dans un fichier entre deux versions est git.diff.",none,True,58.2
git,git.listCommitFiles,git_listCommitFiles,Lire ce qu’une version a changé,"Rend les fichiers qu’une version enregistrée a touchés, et comment chacun l’a été — ajouté, modifié, supprimé ou renommé.",none,True,58.3
git,git.diff,git_diff,Lire ce qui a changé dans un fichier,"Rend la modification à l’intérieur d’un fichier, dans une version enregistrée, ou contre la dernière quand aucune version n’est nommée.",none,True,58.4
git,git.branches,git_branches,Lister les branches,"Rend toutes les branches du dépôt du projet, en disant laquelle est active.",none,True,58.5
git,git.stashes,git_stashes,Lister les remises,"Rend ce qui a été remisé, de la plus récente à la plus ancienne, pour qu’un client puisse en reprendre une par sa place dans la liste.",none,True,58.6
git,git.init,git_init,Commencer à enregistrer les versions,"Lance git init sur le projet ouvert et écrit son fichier d’exclusions, puis répond l’état qu’il a laissé. Ne fait rien à un projet qui enregistre déjà.",none,True,58.7
git,git.stage,git_stage,Indexer des fichiers,"Fait passer des modifications dans ce que portera la prochaine version enregistrée. Répond avec l’état laissé, donc rien n’est à relire.",none,True,58.8
git,git.unstage,git_unstage,Désindexer des fichiers,"Ressort des modifications de ce que portera la prochaine version enregistrée, sans toucher aux fichiers eux-mêmes.",none,True,58.9
git,git.restore,git_restore,Abandonner les modifications de fichiers,"Remet des fichiers tels que la dernière version enregistrée les porte. Ce qui n’a jamais été enregistré est perdu, et aucune annulation du studio ne l’atteint.",files,True,58.10
